Fri Jun  3 11:10:39 2022    output.dat

         54576383 function calls in 175.386 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 18102575    1.183    0.000    1.183    0.000 {method 'append' of 'list' objects}
 18102013    0.977    0.000    0.977    0.000 {built-in method builtins.len}
  6305680   25.752    0.000   25.752    0.000 {built-in method builtins.print}
  5898441    3.689    0.000    3.689    0.000 {method 'split' of 'str' objects}
  5898165   44.043    0.000   44.043    0.000 /Users/seanpluemer/Documents/GitHub/reshapeSpectrumData/main.py:36(<listcomp>)
   130972    0.084    0.000    0.084    0.000 {built-in method _codecs.utf_8_decode}
   130972    0.081    0.000    0.164    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/codecs.py:319(decode)
     2192    0.186    0.000    0.186    0.000 {method 'createDimension' of 'netCDF4._netCDF4.Dataset' objects}
     1644    0.001    0.000    0.001    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/netCDF4/utils.py:34(_find_dim)
      566    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      564    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      291    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      287    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:41(_get_sep)
      276    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
      276    0.001    0.000    0.002    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:334(normpath)
      275    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      274    0.049    0.000    0.049    0.000 {method 'close' of 'netCDF4._netCDF4.Dataset' objects}
      274    0.108    0.000    0.111    0.000 {method 'createVariable' of 'netCDF4._netCDF4.Dataset' objects}
      274    0.000    0.000    0.000    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/netCDF4/utils.py:478(_tostr)
      274    0.001    0.000    0.001    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:100(split)
