Fri Jun  3 10:41:28 2022    output.dat

         72475006 function calls in 414.770 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   203385  226.921    0.001  308.782    0.002 /Users/seanpluemer/Documents/GitHub/reshapeSpectrumData/main.py:45(save_nc)
   203659   55.469    0.000   55.469    0.000 {method 'close' of 'netCDF4._netCDF4.Dataset' objects}
  5898165   41.630    0.000   41.630    0.000 /Users/seanpluemer/Documents/GitHub/reshapeSpectrumData/main.py:35(<listcomp>)
  6305680   27.221    0.000   27.221    0.000 {built-in method builtins.print}
        1   25.682   25.682  408.843  408.843 /Users/seanpluemer/Documents/GitHub/reshapeSpectrumData/main.py:16(extract_data)
   203385   15.280    0.000   21.675    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/netCDF4/utils.py:80(_StartCountStride)
  6101826    4.167    0.000    4.167    0.000 {method 'split' of 'str' objects}
        1    3.923    3.923    4.356    4.356 /Users/seanpluemer/Documents/GitHub/reshapeSpectrumData/main.py:82(readinfiledata)
  3660930    1.984    0.000    2.884    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/numpy/lib/function_base.py:346(iterable)
 19932477    1.217    0.000    1.217    0.000 {built-in method builtins.len}
   203661    1.195    0.000    1.575    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/posixpath.py:334(normpath)
   203385    1.056    0.000    1.257    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/netCDF4/utils.py:450(_out_array_shape)
  1832109    0.982    0.000    0.982    0.000 /Users/seanpluemer/opt/anaconda3/envs/reshapeSpectrumData/lib/python3.9/site-packages/netCDF4/utils.py:34(_find_dim)
  1830465    0.951    0.000    0.951    0.000 {built-in method numpy.asarray}
        1    0.912    0.912  414.770  414.770 <string>:1(<module>)
  3660930    0.900    0.000    0.900    0.000 {built-in method builtins.iter}
